order_id,date,product,category,region,channel,quantity,unit_price,discount_pct,revenue,year,month,month_name,quarter,weekday,is_weekend
100001,2023-01-01,Dumbbell Set,Fitness,North,In-Store,1,89.73,0.0,89.73,2023,1,Jan,1,Sunday,True
100029,2023-01-01,USB-C Hub,Electronics,North,Online,1,30.06,0.0,30.06,2023,1,Jan,1,Sunday,True
100028,2023-01-01,Mechanical Keyboard,Electronics,South,Online,1,56.95,0.1,56.95,2023,1,Jan,1,Sunday,True
100027,2023-01-01,Office Chair,Furniture,West,Online,1,144.73,0.0,144.73,2023,1,Jan,1,Sunday,True
100025,2023-01-01,Planner,Stationery,North,Online,3,15.48,0.0,46.44,2023,1,Jan,1,Sunday,True
100024,2023-01-01,Planner,Stationery,North,In-Store,1,16.38,0.0,16.38,2023,1,Jan,1,Sunday,True
100023,2023-01-01,Notebook Set,Stationery,East,Online,1,9.08,0.0,9.08,2023,1,Jan,1,Sunday,True
100022,2023-01-01,USB-C Hub,Electronics,North,Online,1,27.6,0.0,27.6,2023,1,Jan,1,Sunday,True
100021,2023-01-01,Wireless Mouse,Electronics,North,Online,1,19.54,0.0,19.54,2023,1,Jan,1,Sunday,True
100020,2023-01-01,Standing Desk,Furniture,Central,Online,1,270.78,0.1,270.78,2023,1,Jan,1,Sunday,True
100019,2023-01-01,Mechanical Keyboard,Electronics,North,Online,1,63.98,0.0,63.98,2023,1,Jan,1,Sunday,True
100018,2023-01-01,Noise-Cancel Headphones,Electronics,North,Online,1,135.75,0.0,135.75,2023,1,Jan,1,Sunday,True
100017,2023-01-01,Dumbbell Set,Fitness,North,Online,1,88.25,0.0,88.25,2023,1,Jan,1,Sunday,True
100016,2023-01-01,Dumbbell Set,Fitness,North,Online,1,88.25,0.0,88.25,2023,1,Jan,1,Sunday,True
100026,2023-01-01,Wireless Mouse,Electronics,South,In-Store,1,15.18,0.2,15.18,2023,1,Jan,1,Sunday,True
100014,2023-01-01,Running Shoes,Fitness,Central,In-Store,1,69.38,0.1,69.38,2023,1,Jan,1,Sunday,True
100013,2023-01-01,Running Shoes,Fitness,East,Online,2,69.38,0.1,138.76,2023,1,Jan,1,Sunday,True
100012,2023-01-01,Wireless Mouse,Electronics,North,Online,1,19.58,0.0,19.58,2023,1,Jan,1,Sunday,True
